ID,comentarios
73,hacer entender oportunidad decir poder solo claramente hacer hacer momento si trabajo
41,gusto clase hoy poder llegar conocer gusto saber problema poder llegar ser resuelto simple idea futuro empresa
54,hecho manera poder entender claramente consistir programa
7,gusto actividad descubrir hacer torre poder lograr objetivo
38,gusto clase hoy proceso mencionar observar tecnología hablar tour premio
16,profesor bien
27,parte tener grupo
6,programa utilización
39,gusto día hoy actividad buscar poder llegar objetivo
9,cantidad información profesor
9,aprender traer
39,plan trabajar equipo dinámico trabajo divertido
38,gusto poder aplicación producto personas
20,clase general debido cosas perspectiva idea
53,servir proyecto
72,tema desarrollo clase interesante
32,lluvia grupo propuesta aplicación
16,forma clase entender manera mundo
1,manera clase forma entender proyecto
71,gusto interesante
4,gusto dinámica
75,actividad investigar
27,manera dinámica bien final clase
72,trabajo equipo manera poder
58,si original
21,divertido ver hacer
79,dinámica clase
65,profesor buen ejemplo trabajo equipo
4,equipo solucionar problema
48,reto final
25,ayudar conocer finalidad
44,perder tiempo literal
12,conocer fondo proyecto poder conocer detalles proceso saber llegar ser útil
26,saber programa simple hecho presentar idea personas idea justamente
73,introducción motivación tema hacer posible hacer mejor
55,intentar hacer torre
75,dinámica clase aprender clase si constantemente aportar satisfactorio
24,profesor específico conocer correctamente confianza
63,gusto interés impuesto profesor clase contenido entender mercado
13,formular ver aplicación crear
49,gusto interacción profesor día hoy
37,conocer competencia día hoy proyecto
64,profesor resolver
63,entender manera bueno tener prototipo idea clara poder
2,trabajo equipo
41,reto verdad hacer
78,profesor paciencia proyecto
51,gusto manera explicar fácil entender
36,actividad entrada
2,poder conocer curso poder compartir
20,atención divertido
25,tema interesante
41,poder conocer programa
72,ayuda carrera
17,conocer programa
43,conocer programa
54,ver manera dinámica
27,presentación curso curso servir futuro
34,presentación curso futuro
12,vídeo ejemplo proyecto
48,vídeo implementación tema
70,conocer conocimiento programa
44,poder saber programa hacer buen trabajo
68,sesión idea crear programa grupo
62,parte hacer creativo torre
68,manejar proyecto
30,mundo empresarial
8,gusto clase hoy aprender
5,manera relacionar diario
10,actividad mejor saber persona
17,entender trabajo realizar programa tener claro avanzar proyecto
21,explicación mentor hora explicar mejor información
21,entrada medir fundamentos gestión empresarial
68,oportunidad trabajar equipo poder hacer torre alta estable proponer
27,uso innovación desarrollo emprendedor
34,trabajo equipo unir realizar buen trabajo
42,gusto saber ser gracias
76,actividad interesante trabajar equipo
64,trabajar equipo
32,equipo unión fuerza
47,trabajo dinámico presión trabajar mano
43,gusto crear desarrollo avance resolver
43,parte dinámica cuenta equipo
14,utilizar aprendizaje mayor logro
37,gusto coordinación grupo construir torre mando profesor prueba ingenio justo sesión
30,saber interesante
77,hecho aprender maravilloso proyecto
62,dinamismo compartir gracias entender mejor trata programa
17,explicación profesor
74,gusto exactamente importancia marketing origen base empezar idea negocio
70,hacer juntos plantear situación
13,alegría profesor tener vista proyecto
